Locality,MinPrice,MaxPrice,AvgRent,HouseType
Kartik Nagar,10000,22000,15311.11,2BHK
Carmelaram,3950,8000,6650,1BHK
Carmelaram,15000,16000,15750,2BHK
Panathur,8000,10000,8666.67,1BHK
Panathur,16000,26100,21050,2BHK
Panathur,18792,29500,23323,3BHK
Vibhutipura,8000,11000,9785.71,1BHK
Vibhutipura,9500,16000,12800,2BHK
Vibhutipura,26000,46000,32000,3BHK
JP Nagar Phase 9,8000,14500,10875,1BHK
JP Nagar Phase 9,22000,23000,22500,2BHK
Anagalapura Near Hennur Main Road,65000,70000,67500,3BHK
Malleswaram,5000,15000,9285.71,1BHK
Malleswaram,8000,19000,13125,2BHK
Adugodi,7000,13500,9700,1BHK
Adugodi,14500,19500,16333.33,2BHK
Adugodi,23000,1.5 L,8674.07,3BHK
Arakere,4500,13000,8583.33,1BHK
Arakere,10000,20000,13365.71,2BHK
Arakere,20000,70000,37500,3BHK
Bannerughatta,4000,8000,5750,1BHK
Bannerughatta,14000,16000,15333.33,2BHK
Bannerughatta,27000,30000,28500,3BHK
Margondanahalli,6500,7000,6750,1BHK
Margondanahalli,10000,13000,11500,2BHK
Sir M V Nagar,5000,15000,827.27,1BHK
Sir M V Nagar,7500,19000,12766.67,2BHK
Sir M V Nagar,15000,22000,17416.67,3BHK
Akshayanagar,6500,14000,10800,1BHK
Akshayanagar,8000,20000,15000,2BHK
Gunjur,5200,7500,6733.33,1BHK
Annapurneshwari Nagar,5000,8500,7166.67,1BHK
Annapurneshwari Nagar,11500,16500,14642.86,2BHK
Ramagondanahalli,7000,22000,14500,1BHK
Ramagondanahalli,15000,25000,20119.05,2BHK
Ramagondanahalli,35000,1.2 L,92500,3BHK
Anjanapura,8500,11000,9750,2BHK
Kodihalli,7000,16000,10368.18,1BHK
Kodihalli,10500,50000,22705.88,2BHK
Kodihalli,23000,26000,24500,3BHK
Mallathahalli,10000,4.5 L,230000,1BHK
Mallathahalli,10500,20000,14333.33,2BHK
Mallathahalli,25000,28000,26000,3BHK
Nagavara,6200,13000,8740,1BHK
Nagavara,9500,28000,15500,2BHK
Nagavara,13500,60000,27166.67,3BHK
Bannerghatta,20000,40000,26894.74,3BHK
Nayandahalli,4700,7000,5925,1BHK
Nayandahalli,12100,14000,1333.33,2BHK
Nayandahalli,27000,50000,38666.67,3BHK
hebbal kempapura,6000,21000,11957.14,1BHK
hebbal kempapura,10000,20000,15566.67,2BHK
hebbal kempapura,10000,65000,29666.67,3BHK
Nagawara,18000,1.6 L,63145.05,3BHK
Nelamangala,8000,40000,24666.67,2BHK
Chikkalasandra,6500,7500,6833.33,1BHK
Bennigana Halli,23000,45000,30800,3BHK
Kammanahalli,6000,50000,11875,1BHK
Kammanahalli,11000,26000,15642.86,2BHK
Jeevan Bima Nagar,8000,13000,10000,1BHK
Jeevan Bima Nagar,10000,45000,21857.14,2BHK
Jeevan Bima Nagar,20000,60000,41250,3BHK
Doddanekundi,20000,50000,30562.5,3BHK
Vasanth Nagar,18000,21000,19666.67,2BHK
Vasanth Nagar,30000,2.5 L,95157.14,3BHK
Abbigere,5000,6000,5660,1BHK
